MASS,R
0.03743383,
0.078642,
0.01604307,
0.0717219,
0.06920541,
0.206987,
,0.21598
,0.19137
,0.09295
1.5,
,0.1212
,0.12303
1.99,
0.0151,0.15
0.0264,
30,1.3
3.06,
,0.18135
,0.11574
11,
0.85,1.28
14.5,
,0.12758
,0.13852
,0.11027
,0.24514
,0.13305
0.208,
,0.15948
,0.10115
,0.06653
2.13,
0.669,1.323
,0.153
,0.268
1.462,1.358
0.157,
20,
,0.24332
,0.22509
3.86,
1.844,
9.76,
,0.27704
,0.24879
0.917,
,0.1193806
,0.049210359
,0.177704
,0.14671977
,0.12849371
2.4,
0.82,
,0.258628
11.09,
1.8,
,0.29162
,0.3226
23.04,
0.29,1.23
3.5,
1.88,
8.03,
,0.28524
,0.25243
,0.16859
6.1,
0.599,1.571
0.95,
,0.10571
,0.0966
,0.78828
,0.74545
5.1,
5.16,
0.12347045,
9.1,
,0.168
,0.289
,0.233
0.03869211,
0.02705302,
0.78,
17.7,
2.8,1.05
4.4,
4.8,
,0.32898
,0.14034
9.88,
,0.08111
,0.09113
7.8,
0.503,1.224
,0.23967
,0.1695
,0.23603
,0.22691
0.186,
,0.097509
,0.127582
,0.097509
,0.115735
,0.099027744
5.7,
0.261,
6.8,
,0.20687
,0.18773
0.34,
,0.17224
,0.16221
,0.21324
,0.1367
0.210762,0.396143
6.37,
1.168,1.386
10.3,
,0.21689
,0.31075
10.1,1.05
,0.30802
,0.22509
,0.10845
0.46,
1.36,
1.22,
0.69,
,0.48664
,0.32989
,0.45201
0.67,1.4
0.3,1.04
,0.13761
,0.14945
9.9,
0.733,
1.68,
0.534,1.01
1.4,
0.5,1.41
,0.22145
,0.13943
,0.23056
,0.2342
2.94,
4.04,
5.1,
0.005977,0.164035
0.009028,0.261544
0.022964,0.283415
0.025166,0.380925
0.006291,0.226003
,0.303464
,0.19411
,0.1449
,0.036726
,0.045292
,0.048299
,0.049757
,0.067528
7.659,
17.193,
,0.12211
,0.10207
0.015079,0.195019
0.033219,0.286149
0.024945,0.185906
